sysname,start_date,end_date,timestep_hours,rte,ed_norm,p_norm,soc_min,soc_max,soc_init,tau,output_smoothing,carbon_cost,solver,electricity_costing,electricity_costing_path,electricity_costing_CWNS_No,emissions_costing,emissions_costing_ISO,emissions_costing_path,baseload_pattern_name,baseload_value,month,emissions_optimal,cost_optimal,alpha,acc_alpha,total_electrical_emissions,save_path
virtual_battery,2021-01-01 00:00:00,2021-01-31 23:45:00,0.25,0.85,0.05,0.15,0.05,0.95,0.5,1,1e-06,0,gurobi,tariff,wwtp-energy-tariffs/data/WWTP_Billing.xlsx,6005025001,marginal,CAISO,data/grid_2021/MEF/CAISO/CAISO_mef_average_Jan_HOUR.csv,Manufacturing processes,1000,Jan,"(75257.75001149949, 975674.5171720919)","(74956.80869305566, 984147.2019417523)",0.05,0.0,984147.2019417523,electricity-carbon-cost/results/ACC_load_shape_results_11212024_CAISO.csv
virtual_battery,2021-01-01 00:00:00,2021-01-31 23:45:00,0.25,0.85,0.05,0.15,0.05,0.95,0.5,1,1e-06,0,gurobi,tariff,wwtp-energy-tariffs/data/WWTP_Billing.xlsx,6005025001,marginal,CAISO,data/grid_2021/MEF/CAISO/CAISO_mef_average_Jan_HOUR.csv,Manufacturing processes,1000,Jan,"(75257.75001149949, 975674.5171720919)","(74956.80869305566, 984147.2019417523)",0.25,0.0004375,982052.8033347538,electricity-carbon-cost/results/ACC_load_shape_results_11212024_CAISO.csv
virtual_battery,2021-01-01 00:00:00,2021-01-31 23:45:00,0.25,0.85,0.05,0.15,0.05,0.95,0.5,1,1e-06,0,gurobi,tariff,wwtp-energy-tariffs/data/WWTP_Billing.xlsx,6005025001,marginal,CAISO,data/grid_2021/MEF/CAISO/CAISO_mef_average_Jan_HOUR.csv,Manufacturing processes,1000,Jan,"(75257.75001149949, 975674.5171720919)","(74956.80869305566, 984147.2019417523)",0.5,0.004312500000000001,979908.7965381937,electricity-carbon-cost/results/ACC_load_shape_results_11212024_CAISO.csv
virtual_battery,2021-01-01 00:00:00,2021-01-31 23:45:00,0.25,0.85,0.05,0.15,0.05,0.95,0.5,1,1e-06,0,gurobi,tariff,wwtp-energy-tariffs/data/WWTP_Billing.xlsx,6005025001,marginal,CAISO,data/grid_2021/MEF/CAISO/CAISO_mef_average_Jan_HOUR.csv,Manufacturing processes,1000,Jan,"(75257.75001149949, 975674.5171720919)","(74956.80869305566, 984147.2019417523)",0.75,0.026750000000000003,977794.7789574334,electricity-carbon-cost/results/ACC_load_shape_results_11212024_CAISO.csv
virtual_battery,2021-01-01 00:00:00,2021-01-31 23:45:00,0.25,0.85,0.05,0.15,0.05,0.95,0.5,1,1e-06,0,gurobi,tariff,wwtp-energy-tariffs/data/WWTP_Billing.xlsx,6005025001,marginal,CAISO,data/grid_2021/MEF/CAISO/CAISO_mef_average_Jan_HOUR.csv,Manufacturing processes,1000,Jan,"(75257.75001149949, 975674.5171720919)","(74956.80869305566, 984147.2019417523)",0.95,0.3193125000000002,976098.1173172534,electricity-carbon-cost/results/ACC_load_shape_results_11212024_CAISO.csv
virtual_battery,2021-01-01 00:00:00,2021-01-31 23:45:00,0.25,0.85,0.05,0.15,0.05,0.95,0.5,1,1e-06,0,gurobi,tariff,wwtp-energy-tariffs/data/WWTP_Billing.xlsx,6005025001,marginal,CAISO,data/grid_2021/MEF/CAISO/CAISO_mef_average_Jan_HOUR.csv,Trades (non-food),1000,Jan,"(75573.62047546195, 977819.4984540559)","(75190.57372631278, 986850.4488733385)",0.05,0.000125,986316.1029545659,electricity-carbon-cost/results/ACC_load_shape_results_11212024_CAISO.csv
virtual_battery,2021-01-01 00:00:00,2021-01-31 23:45:00,0.25,0.85,0.05,0.15,0.05,0.95,0.5,1,1e-06,0,gurobi,tariff,wwtp-energy-tariffs/data/WWTP_Billing.xlsx,6005025001,marginal,CAISO,data/grid_2021/MEF/CAISO/CAISO_mef_average_Jan_HOUR.csv,Trades (non-food),1000,Jan,"(75573.62047546195, 977819.4984540559)","(75190.57372631278, 986850.4488733385)",0.25,0.003687500000000001,984595.6878061861,electricity-carbon-cost/results/ACC_load_shape_results_11212024_CAISO.csv
virtual_battery,2021-01-01 00:00:00,2021-01-31 23:45:00,0.25,0.85,0.05,0.15,0.05,0.95,0.5,1,1e-06,0,gurobi,tariff,wwtp-energy-tariffs/data/WWTP_Billing.xlsx,6005025001,marginal,CAISO,data/grid_2021/MEF/CAISO/CAISO_mef_average_Jan_HOUR.csv,Trades (non-food),1000,Jan,"(75573.62047546195, 977819.4984540559)","(75190.57372631278, 986850.4488733385)",0.5,0.016187500000000004,982332.2004935961,electricity-carbon-cost/results/ACC_load_shape_results_11212024_CAISO.csv
virtual_battery,2021-01-01 00:00:00,2021-01-31 23:45:00,0.25,0.85,0.05,0.15,0.05,0.95,0.5,1,1e-06,0,gurobi,tariff,wwtp-energy-tariffs/data/WWTP_Billing.xlsx,6005025001,marginal,CAISO,data/grid_2021/MEF/CAISO/CAISO_mef_average_Jan_HOUR.csv,Trades (non-food),1000,Jan,"(75573.62047546195, 977819.4984540559)","(75190.57372631278, 986850.4488733385)",0.75,0.06650000000000003,980078.2654690163,electricity-carbon-cost/results/ACC_load_shape_results_11212024_CAISO.csv
virtual_battery,2021-01-01 00:00:00,2021-01-31 23:45:00,0.25,0.85,0.05,0.15,0.05,0.95,0.5,1,1e-06,0,gurobi,tariff,wwtp-energy-tariffs/data/WWTP_Billing.xlsx,6005025001,marginal,CAISO,data/grid_2021/MEF/CAISO/CAISO_mef_average_Jan_HOUR.csv,Trades (non-food),1000,Jan,"(75573.62047546195, 977819.4984540559)","(75190.57372631278, 986850.4488733385)",0.95,0.29018750000000026,978270.9304487801,electricity-carbon-cost/results/ACC_load_shape_results_11212024_CAISO.csv
virtual_battery,2021-01-01 00:00:00,2021-01-31 23:45:00,0.25,0.85,0.05,0.15,0.05,0.95,0.5,1,1e-06,0,gurobi,tariff,wwtp-energy-tariffs/data/WWTP_Billing.xlsx,6005025001,marginal,CAISO,data/grid_2021/MEF/CAISO/CAISO_mef_average_Jan_HOUR.csv,Trades (food),1000,Jan,"(75654.97698302704, 978618.335280749)","(75313.76143402033, 986821.9118625721)",0.05,0.000125,986339.1622232129,electricity-carbon-cost/results/ACC_load_shape_results_11212024_CAISO.csv
virtual_battery,2021-01-01 00:00:00,2021-01-31 23:45:00,0.25,0.85,0.05,0.15,0.05,0.95,0.5,1,1e-06,0,gurobi,tariff,wwtp-energy-tariffs/data/WWTP_Billing.xlsx,6005025001,marginal,CAISO,data/grid_2021/MEF/CAISO/CAISO_mef_average_Jan_HOUR.csv,Trades (food),1000,Jan,"(75654.97698302704, 978618.335280749)","(75313.76143402033, 986821.9118625721)",0.25,0.0025625000000000005,984768.3637438928,electricity-carbon-cost/results/ACC_load_shape_results_11212024_CAISO.csv
virtual_battery,2021-01-01 00:00:00,2021-01-31 23:45:00,0.25,0.85,0.05,0.15,0.05,0.95,0.5,1,1e-06,0,gurobi,tariff,wwtp-energy-tariffs/data/WWTP_Billing.xlsx,6005025001,marginal,CAISO,data/grid_2021/MEF/CAISO/CAISO_mef_average_Jan_HOUR.csv,Trades (food),1000,Jan,"(75654.97698302704, 978618.335280749)","(75313.76143402033, 986821.9118625721)",0.5,0.010625000000000002,982709.471281544,electricity-carbon-cost/results/ACC_load_shape_results_11212024_CAISO.csv
virtual_battery,2021-01-01 00:00:00,2021-01-31 23:45:00,0.25,0.85,0.05,0.15,0.05,0.95,0.5,1,1e-06,0,gurobi,tariff,wwtp-energy-tariffs/data/WWTP_Billing.xlsx,6005025001,marginal,CAISO,data/grid_2021/MEF/CAISO/CAISO_mef_average_Jan_HOUR.csv,Trades (food),1000,Jan,"(75654.97698302704, 978618.335280749)","(75313.76143402033, 986821.9118625721)",0.75,0.05231250000000002,980669.0911327171,electricity-carbon-cost/results/ACC_load_shape_results_11212024_CAISO.csv
virtual_battery,2021-01-01 00:00:00,2021-01-31 23:45:00,0.25,0.85,0.05,0.15,0.05,0.95,0.5,1,1e-06,0,gurobi,tariff,wwtp-energy-tariffs/data/WWTP_Billing.xlsx,6005025001,marginal,CAISO,data/grid_2021/MEF/CAISO/CAISO_mef_average_Jan_HOUR.csv,Trades (food),1000,Jan,"(75654.97698302704, 978618.335280749)","(75313.76143402033, 986821.9118625721)",0.95,0.3112500000000002,979029.2282250194,electricity-carbon-cost/results/ACC_load_shape_results_11212024_CAISO.csv
virtual_battery,2021-01-01 00:00:00,2021-01-31 23:45:00,0.25,0.85,0.05,0.15,0.05,0.95,0.5,1,1e-06,0,gurobi,tariff,wwtp-energy-tariffs/data/WWTP_Billing.xlsx,6005025001,marginal,CAISO,data/grid_2021/MEF/CAISO/CAISO_mef_average_Jan_HOUR.csv,Education,1000,Jan,"(75044.9633151927, 975076.6850980595)","(74669.76191729106, 984237.8827347081)",0.05,0.0001875,983753.6461397103,electricity-carbon-cost/results/ACC_load_shape_results_11212024_CAISO.csv
virtual_battery,2021-01-01 00:00:00,2021-01-31 23:45:00,0.25,0.85,0.05,0.15,0.05,0.95,0.5,1,1e-06,0,gurobi,tariff,wwtp-energy-tariffs/data/WWTP_Billing.xlsx,6005025001,marginal,CAISO,data/grid_2021/MEF/CAISO/CAISO_mef_average_Jan_HOUR.csv,Education,1000,Jan,"(75044.9633151927, 975076.6850980595)","(74669.76191729106, 984237.8827347081)",0.25,0.0035000000000000014,981932.069682111,electricity-carbon-cost/results/ACC_load_shape_results_11212024_CAISO.csv
virtual_battery,2021-01-01 00:00:00,2021-01-31 23:45:00,0.25,0.85,0.05,0.15,0.05,0.95,0.5,1,1e-06,0,gurobi,tariff,wwtp-energy-tariffs/data/WWTP_Billing.xlsx,6005025001,marginal,CAISO,data/grid_2021/MEF/CAISO/CAISO_mef_average_Jan_HOUR.csv,Education,1000,Jan,"(75044.9633151927, 975076.6850980595)","(74669.76191729106, 984237.8827347081)",0.5,0.014187500000000002,979658.3635233158,electricity-carbon-cost/results/ACC_load_shape_results_11212024_CAISO.csv
virtual_battery,2021-01-01 00:00:00,2021-01-31 23:45:00,0.25,0.85,0.05,0.15,0.05,0.95,0.5,1,1e-06,0,gurobi,tariff,wwtp-energy-tariffs/data/WWTP_Billing.xlsx,6005025001,marginal,CAISO,data/grid_2021/MEF/CAISO/CAISO_mef_average_Jan_HOUR.csv,Education,1000,Jan,"(75044.9633151927, 975076.6850980595)","(74669.76191729106, 984237.8827347081)",0.75,0.060875000000000026,977365.7323933194,electricity-carbon-cost/results/ACC_load_shape_results_11212024_CAISO.csv
virtual_battery,2021-01-01 00:00:00,2021-01-31 23:45:00,0.25,0.85,0.05,0.15,0.05,0.95,0.5,1,1e-06,0,gurobi,tariff,wwtp-energy-tariffs/data/WWTP_Billing.xlsx,6005025001,marginal,CAISO,data/grid_2021/MEF/CAISO/CAISO_mef_average_Jan_HOUR.csv,Education,1000,Jan,"(75044.9633151927, 975076.6850980595)","(74669.76191729106, 984237.8827347081)",0.95,0.2930625000000003,975534.7862271416,electricity-carbon-cost/results/ACC_load_shape_results_11212024_CAISO.csv
virtual_battery,2021-01-01 00:00:00,2021-01-31 23:45:00,0.25,0.85,0.05,0.15,0.05,0.95,0.5,1,1e-06,0,gurobi,tariff,wwtp-energy-tariffs/data/WWTP_Billing.xlsx,6005025001,marginal,CAISO,data/grid_2021/MEF/CAISO/CAISO_mef_average_Jan_HOUR.csv,Office,1000,Jan,"(75314.03196890242, 975942.8221918124)","(74996.40182665751, 984354.2918934925)",0.05,0.0,984354.2918934925,electricity-carbon-cost/results/ACC_load_shape_results_11212024_CAISO.csv
virtual_battery,2021-01-01 00:00:00,2021-01-31 23:45:00,0.25,0.85,0.05,0.15,0.05,0.95,0.5,1,1e-06,0,gurobi,tariff,wwtp-energy-tariffs/data/WWTP_Billing.xlsx,6005025001,marginal,CAISO,data/grid_2021/MEF/CAISO/CAISO_mef_average_Jan_HOUR.csv,Office,1000,Jan,"(75314.03196890242, 975942.8221918124)","(74996.40182665751, 984354.2918934925)",0.25,0.0011250000000000001,982208.6405102164,electricity-carbon-cost/results/ACC_load_shape_results_11212024_CAISO.csv
virtual_battery,2021-01-01 00:00:00,2021-01-31 23:45:00,0.25,0.85,0.05,0.15,0.05,0.95,0.5,1,1e-06,0,gurobi,tariff,wwtp-energy-tariffs/data/WWTP_Billing.xlsx,6005025001,marginal,CAISO,data/grid_2021/MEF/CAISO/CAISO_mef_average_Jan_HOUR.csv,Office,1000,Jan,"(75314.03196890242, 975942.8221918124)","(74996.40182665751, 984354.2918934925)",0.5,0.007125000000000002,980159.2042555633,electricity-carbon-cost/results/ACC_load_shape_results_11212024_CAISO.csv
virtual_battery,2021-01-01 00:00:00,2021-01-31 23:45:00,0.25,0.85,0.05,0.15,0.05,0.95,0.5,1,1e-06,0,gurobi,tariff,wwtp-energy-tariffs/data/WWTP_Billing.xlsx,6005025001,marginal,CAISO,data/grid_2021/MEF/CAISO/CAISO_mef_average_Jan_HOUR.csv,Office,1000,Jan,"(75314.03196890242, 975942.8221918124)","(74996.40182665751, 984354.2918934925)",0.75,0.03656250000000001,978046.0072389726,electricity-carbon-cost/results/ACC_load_shape_results_11212024_CAISO.csv
virtual_battery,2021-01-01 00:00:00,2021-01-31 23:45:00,0.25,0.85,0.05,0.15,0.05,0.95,0.5,1,1e-06,0,gurobi,tariff,wwtp-energy-tariffs/data/WWTP_Billing.xlsx,6005025001,marginal,CAISO,data/grid_2021/MEF/CAISO/CAISO_mef_average_Jan_HOUR.csv,Office,1000,Jan,"(75314.03196890242, 975942.8221918124)","(74996.40182665751, 984354.2918934925)",0.95,0.3213750000000002,976362.9101981254,electricity-carbon-cost/results/ACC_load_shape_results_11212024_CAISO.csv
virtual_battery,2021-01-01 00:00:00,2021-01-31 23:45:00,0.25,0.85,0.05,0.15,0.05,0.95,0.5,1,1e-06,0,gurobi,tariff,wwtp-energy-tariffs/data/WWTP_Billing.xlsx,6005025001,marginal,CAISO,data/grid_2021/MEF/CAISO/CAISO_mef_average_Jan_HOUR.csv,Crop farming and transportation,1000,Jan,"(75670.72960974067, 982172.8483423193)","(75307.99303406753, 991285.0926708145)",0.05,0.00025,990879.3554937151,electricity-carbon-cost/results/ACC_load_shape_results_11212024_CAISO.csv
virtual_battery,2021-01-01 00:00:00,2021-01-31 23:45:00,0.25,0.85,0.05,0.15,0.05,0.95,0.5,1,1e-06,0,gurobi,tariff,wwtp-energy-tariffs/data/WWTP_Billing.xlsx,6005025001,marginal,CAISO,data/grid_2021/MEF/CAISO/CAISO_mef_average_Jan_HOUR.csv,Crop farming and transportation,1000,Jan,"(75670.72960974067, 982172.8483423193)","(75307.99303406753, 991285.0926708145)",0.25,0.0022500000000000003,988976.3772805962,electricity-carbon-cost/results/ACC_load_shape_results_11212024_CAISO.csv
virtual_battery,2021-01-01 00:00:00,2021-01-31 23:45:00,0.25,0.85,0.05,0.15,0.05,0.95,0.5,1,1e-06,0,gurobi,tariff,wwtp-energy-tariffs/data/WWTP_Billing.xlsx,6005025001,marginal,CAISO,data/grid_2021/MEF/CAISO/CAISO_mef_average_Jan_HOUR.csv,Crop farming and transportation,1000,Jan,"(75670.72960974067, 982172.8483423193)","(75307.99303406753, 991285.0926708145)",0.5,0.010562500000000002,986726.4896442028,electricity-carbon-cost/results/ACC_load_shape_results_11212024_CAISO.csv
virtual_battery,2021-01-01 00:00:00,2021-01-31 23:45:00,0.25,0.85,0.05,0.15,0.05,0.95,0.5,1,1e-06,0,gurobi,tariff,wwtp-energy-tariffs/data/WWTP_Billing.xlsx,6005025001,marginal,CAISO,data/grid_2021/MEF/CAISO/CAISO_mef_average_Jan_HOUR.csv,Crop farming and transportation,1000,Jan,"(75670.72960974067, 982172.8483423193)","(75307.99303406753, 991285.0926708145)",0.75,0.05325000000000002,984450.0036763684,electricity-carbon-cost/results/ACC_load_shape_results_11212024_CAISO.csv
virtual_battery,2021-01-01 00:00:00,2021-01-31 23:45:00,0.25,0.85,0.05,0.15,0.05,0.95,0.5,1,1e-06,0,gurobi,tariff,wwtp-energy-tariffs/data/WWTP_Billing.xlsx,6005025001,marginal,CAISO,data/grid_2021/MEF/CAISO/CAISO_mef_average_Jan_HOUR.csv,Crop farming and transportation,1000,Jan,"(75670.72960974067, 982172.8483423193)","(75307.99303406753, 991285.0926708145)",0.95,0.2971250000000003,982628.195864621,electricity-carbon-cost/results/ACC_load_shape_results_11212024_CAISO.csv
virtual_battery,2021-01-01 00:00:00,2021-01-31 23:45:00,0.25,0.85,0.05,0.15,0.05,0.95,0.5,1,1e-06,0,gurobi,tariff,wwtp-energy-tariffs/data/WWTP_Billing.xlsx,6005025001,marginal,CAISO,data/grid_2021/MEF/CAISO/CAISO_mef_average_Jan_HOUR.csv,Livestock farming,1000,Jan,"(75411.37395632945, 977188.4154960882)","(75102.45032893305, 984929.9877751715)",0.05,6.25e-05,984465.4619385612,electricity-carbon-cost/results/ACC_load_shape_results_11212024_CAISO.csv
virtual_battery,2021-01-01 00:00:00,2021-01-31 23:45:00,0.25,0.85,0.05,0.15,0.05,0.95,0.5,1,1e-06,0,gurobi,tariff,wwtp-energy-tariffs/data/WWTP_Billing.xlsx,6005025001,marginal,CAISO,data/grid_2021/MEF/CAISO/CAISO_mef_average_Jan_HOUR.csv,Livestock farming,1000,Jan,"(75411.37395632945, 977188.4154960882)","(75102.45032893305, 984929.9877751715)",0.25,0.0016875000000000002,982979.2657196304,electricity-carbon-cost/results/ACC_load_shape_results_11212024_CAISO.csv
virtual_battery,2021-01-01 00:00:00,2021-01-31 23:45:00,0.25,0.85,0.05,0.15,0.05,0.95,0.5,1,1e-06,0,gurobi,tariff,wwtp-energy-tariffs/data/WWTP_Billing.xlsx,6005025001,marginal,CAISO,data/grid_2021/MEF/CAISO/CAISO_mef_average_Jan_HOUR.csv,Livestock farming,1000,Jan,"(75411.37395632945, 977188.4154960882)","(75102.45032893305, 984929.9877751715)",0.5,0.0076875000000000025,981061.3662170798,electricity-carbon-cost/results/ACC_load_shape_results_11212024_CAISO.csv
virtual_battery,2021-01-01 00:00:00,2021-01-31 23:45:00,0.25,0.85,0.05,0.15,0.05,0.95,0.5,1,1e-06,0,gurobi,tariff,wwtp-energy-tariffs/data/WWTP_Billing.xlsx,6005025001,marginal,CAISO,data/grid_2021/MEF/CAISO/CAISO_mef_average_Jan_HOUR.csv,Livestock farming,1000,Jan,"(75411.37395632945, 977188.4154960882)","(75102.45032893305, 984929.9877751715)",0.75,0.03850000000000001,979125.0654867777,electricity-carbon-cost/results/ACC_load_shape_results_11212024_CAISO.csv
virtual_battery,2021-01-01 00:00:00,2021-01-31 23:45:00,0.25,0.85,0.05,0.15,0.05,0.95,0.5,1,1e-06,0,gurobi,tariff,wwtp-energy-tariffs/data/WWTP_Billing.xlsx,6005025001,marginal,CAISO,data/grid_2021/MEF/CAISO/CAISO_mef_average_Jan_HOUR.csv,Livestock farming,1000,Jan,"(75411.37395632945, 977188.4154960882)","(75102.45032893305, 984929.9877751715)",0.95,0.3195625000000002,977575.5556808579,electricity-carbon-cost/results/ACC_load_shape_results_11212024_CAISO.csv
virtual_battery,2021-01-01 00:00:00,2021-01-31 23:45:00,0.25,0.85,0.05,0.15,0.05,0.95,0.5,1,1e-06,0,gurobi,tariff,wwtp-energy-tariffs/data/WWTP_Billing.xlsx,6005025001,marginal,CAISO,data/grid_2021/MEF/CAISO/CAISO_mef_average_Jan_HOUR.csv,Water supply and telecommunications,1000,Jan,"(75109.63170705378, 974157.3172290025)","(74798.87953586446, 984757.7705978702)",0.05,0.0,984757.7705978702,electricity-carbon-cost/results/ACC_load_shape_results_11212024_CAISO.csv
virtual_battery,2021-01-01 00:00:00,2021-01-31 23:45:00,0.25,0.85,0.05,0.15,0.05,0.95,0.5,1,1e-06,0,gurobi,tariff,wwtp-energy-tariffs/data/WWTP_Billing.xlsx,6005025001,marginal,CAISO,data/grid_2021/MEF/CAISO/CAISO_mef_average_Jan_HOUR.csv,Water supply and telecommunications,1000,Jan,"(75109.63170705378, 974157.3172290025)","(74798.87953586446, 984757.7705978702)",0.25,0.00025,982036.5807593229,electricity-carbon-cost/results/ACC_load_shape_results_11212024_CAISO.csv
virtual_battery,2021-01-01 00:00:00,2021-01-31 23:45:00,0.25,0.85,0.05,0.15,0.05,0.95,0.5,1,1e-06,0,gurobi,tariff,wwtp-energy-tariffs/data/WWTP_Billing.xlsx,6005025001,marginal,CAISO,data/grid_2021/MEF/CAISO/CAISO_mef_average_Jan_HOUR.csv,Water supply and telecommunications,1000,Jan,"(75109.63170705378, 974157.3172290025)","(74798.87953586446, 984757.7705978702)",0.5,0.003000000000000001,979478.3477580475,electricity-carbon-cost/results/ACC_load_shape_results_11212024_CAISO.csv
virtual_battery,2021-01-01 00:00:00,2021-01-31 23:45:00,0.25,0.85,0.05,0.15,0.05,0.95,0.5,1,1e-06,0,gurobi,tariff,wwtp-energy-tariffs/data/WWTP_Billing.xlsx,6005025001,marginal,CAISO,data/grid_2021/MEF/CAISO/CAISO_mef_average_Jan_HOUR.csv,Water supply and telecommunications,1000,Jan,"(75109.63170705378, 974157.3172290025)","(74798.87953586446, 984757.7705978702)",0.75,0.021500000000000005,976803.9204628344,electricity-carbon-cost/results/ACC_load_shape_results_11212024_CAISO.csv
virtual_battery,2021-01-01 00:00:00,2021-01-31 23:45:00,0.25,0.85,0.05,0.15,0.05,0.95,0.5,1,1e-06,0,gurobi,tariff,wwtp-energy-tariffs/data/WWTP_Billing.xlsx,6005025001,marginal,CAISO,data/grid_2021/MEF/CAISO/CAISO_mef_average_Jan_HOUR.csv,Water supply and telecommunications,1000,Jan,"(75109.63170705378, 974157.3172290025)","(74798.87953586446, 984757.7705978702)",0.95,0.3112500000000003,974687.766850679,electricity-carbon-cost/results/ACC_load_shape_results_11212024_CAISO.csv
virtual_battery,2021-01-01 00:00:00,2021-01-31 23:45:00,0.25,0.85,0.05,0.15,0.05,0.95,0.5,1,1e-06,0,gurobi,tariff,wwtp-energy-tariffs/data/WWTP_Billing.xlsx,6005025001,marginal,CAISO,data/grid_2021/MEF/CAISO/CAISO_mef_average_Jan_HOUR.csv,Restaurants,1000,Jan,"(75660.86955362842, 979909.1929428465)","(75302.34635370164, 989200.1397385502)",0.05,0.000375,988714.9266008454,electricity-carbon-cost/results/ACC_load_shape_results_11212024_CAISO.csv
virtual_battery,2021-01-01 00:00:00,2021-01-31 23:45:00,0.25,0.85,0.05,0.15,0.05,0.95,0.5,1,1e-06,0,gurobi,tariff,wwtp-energy-tariffs/data/WWTP_Billing.xlsx,6005025001,marginal,CAISO,data/grid_2021/MEF/CAISO/CAISO_mef_average_Jan_HOUR.csv,Restaurants,1000,Jan,"(75660.86955362842, 979909.1929428465)","(75302.34635370164, 989200.1397385502)",0.25,0.003312500000000001,986881.1017551334,electricity-carbon-cost/results/ACC_load_shape_results_11212024_CAISO.csv
virtual_battery,2021-01-01 00:00:00,2021-01-31 23:45:00,0.25,0.85,0.05,0.15,0.05,0.95,0.5,1,1e-06,0,gurobi,tariff,wwtp-energy-tariffs/data/WWTP_Billing.xlsx,6005025001,marginal,CAISO,data/grid_2021/MEF/CAISO/CAISO_mef_average_Jan_HOUR.csv,Restaurants,1000,Jan,"(75660.86955362842, 979909.1929428465)","(75302.34635370164, 989200.1397385502)",0.5,0.010312500000000002,984557.7243633639,electricity-carbon-cost/results/ACC_load_shape_results_11212024_CAISO.csv
virtual_battery,2021-01-01 00:00:00,2021-01-31 23:45:00,0.25,0.85,0.05,0.15,0.05,0.95,0.5,1,1e-06,0,gurobi,tariff,wwtp-energy-tariffs/data/WWTP_Billing.xlsx,6005025001,marginal,CAISO,data/grid_2021/MEF/CAISO/CAISO_mef_average_Jan_HOUR.csv,Restaurants,1000,Jan,"(75660.86955362842, 979909.1929428465)","(75302.34635370164, 989200.1397385502)",0.75,0.048062500000000015,982231.6429515874,electricity-carbon-cost/results/ACC_load_shape_results_11212024_CAISO.csv
virtual_battery,2021-01-01 00:00:00,2021-01-31 23:45:00,0.25,0.85,0.05,0.15,0.05,0.95,0.5,1,1e-06,0,gurobi,tariff,wwtp-energy-tariffs/data/WWTP_Billing.xlsx,6005025001,marginal,CAISO,data/grid_2021/MEF/CAISO/CAISO_mef_average_Jan_HOUR.csv,Restaurants,1000,Jan,"(75660.86955362842, 979909.1929428465)","(75302.34635370164, 989200.1397385502)",0.95,0.2964375000000003,980373.8373747696,electricity-carbon-cost/results/ACC_load_shape_results_11212024_CAISO.csv
virtual_battery,2021-01-01 00:00:00,2021-01-31 23:45:00,0.25,0.85,0.05,0.15,0.05,0.95,0.5,1,1e-06,0,gurobi,tariff,wwtp-energy-tariffs/data/WWTP_Billing.xlsx,6005025001,marginal,CAISO,data/grid_2021/MEF/CAISO/CAISO_mef_average_Jan_HOUR.csv,Food industry,1000,Jan,"(75266.71199359125, 975381.4860650132)","(74975.00792904811, 984124.4870299312)",0.05,0.0,984124.4870299312,electricity-carbon-cost/results/ACC_load_shape_results_11212024_CAISO.csv
